"SubjectID","Activity","Feature","Average"
1,"Walking","timeBodyAccMeanX",0.277330758736842
1,"Walking","timeBodyAccMeanY",-0.0173838185273684
1,"Walking","timeBodyAccMeanZ",-0.111148103547368
1,"Walking","timeBodyAccStdX",-0.283740258842105
1,"Walking","timeBodyAccStdY",0.114461336747368
1,"Walking","timeBodyAccStdZ",-0.260027902210526
1,"Walking","timeGravityAccMeanX",0.935223201473684
1,"Walking","timeGravityAccMeanY",-0.282165021263158
1,"Walking","timeGravityAccMeanZ",-0.068102864
1,"Walking","timeGravityAccStdX",-0.976609642526316
1,"Walking","timeGravityAccStdY",-0.971305961473684
1,"Walking","timeGravityAccStdZ",-0.947717226105263
1,"Walking","timeBodyAccJerkMeanX",0.0740416333157895
1,"Walking","timeBodyAccJerkMeanY",0.0282721095884211
1,"Walking","timeBodyAccJerkMeanZ",-0.00416840617789474
1,"Walking","timeBodyAccJerkStdX",-0.113615602435789
1,"Walking","timeBodyAccJerkStdY",0.0670025007684211
1,"Walking","timeBodyAccJerkStdZ",-0.502699788526316
1,"Walking","timeBodyGyroMeanX",-0.041830963526
1,"Walking","timeBodyGyroMeanY",-0.0695300462115789
1,"Walking","timeBodyGyroMeanZ",0.0849448173042105
1,"Walking","timeBodyGyroStdX",-0.473535485894737
1,"Walking","timeBodyGyroStdY",-0.0546077686594737
1,"Walking","timeBodyGyroStdZ",-0.344266629473684
1,"Walking","timeBodyGyroJerkMeanX",-0.0899975423705263
1,"Walking","timeBodyGyroJerkMeanY",-0.0398428709463158
1,"Walking","timeBodyGyroJerkMeanZ",-0.0461309295021053
1,"Walking","timeBodyGyroJerkStdX",-0.207421854757895
1,"Walking","timeBodyGyroJerkStdY",-0.304468510631579
1,"Walking","timeBodyGyroJerkStdZ",-0.404255452631579
1,"Walking","timeBodyAccMagMean",-0.136971176556842
1,"Walking","timeBodyAccMagStd",-0.219688645631579
1,"Walking","timeGravityAccMagMean",-0.136971176556842
1,"Walking","timeGravityAccMagStd",-0.219688645631579
1,"Walking","timeBodyAccJerkMagMean",-0.141428809031579
1,"Walking","timeBodyAccJerkMagStd",-0.0744717500625263
1,"Walking","timeBodyGyroMagMean",-0.160979552536842
1,"Walking","timeBodyGyroMagStd",-0.186978364526316
1,"Walking","timeBodyGyroJerkMagMean",-0.298703679084211
1,"Walking","timeBodyGyroJerkMagStd",-0.325324878894737
1,"Walking","freqBodyAccMeanX",-0.202794306326316
1,"Walking","freqBodyAccMeanY",0.0897127264021053
1,"Walking","freqBodyAccMeanZ",-0.331560117789474
1,"Walking","freqBodyAccStdX",-0.319134719578947
1,"Walking","freqBodyAccStdY",0.056040006846
1,"Walking","freqBodyAccStdZ",-0.279686751494737
1,"Walking","freqBodyAccJerkMeanX",-0.170546964549579
1,"Walking","freqBodyAccJerkMeanY",-0.0352255241130632
1,"Walking","freqBodyAccJerkMeanZ",-0.468999224631579
1,"Walking","freqBodyAccJerkStdX",-0.133586606326316
1,"Walking","freqBodyAccJerkStdY",0.106739857136
1,"Walking","freqBodyAccJerkStdZ",-0.534713440421053
1,"Walking","freqBodyGyroMeanX",-0.339032197115789
1,"Walking","freqBodyGyroMeanY",-0.103059416434737
1,"Walking","freqBodyGyroMeanZ",-0.255940940315789
1,"Walking","freqBodyGyroStdX",-0.516691938736842
1,"Walking","freqBodyGyroStdY",-0.0335081597884211
1,"Walking","freqBodyGyroStdZ",-0.436562227473684
1,"Walking","freqBodyAccMagMean",-0.128623450629474
1,"Walking","freqBodyAccMagStd",-0.398032586842105
1,"Walking","freqBodyAccJerkMagMean",-0.0571194000343158
1,"Walking","freqBodyAccJerkMagStd",-0.103492403002105
1,"Walking","freqBodyGyroMagMean",-0.199252568986316
1,"Walking","freqBodyGyroMagStd",-0.321017953894737
1,"Walking","freqBodyGyroJerkMagMean",-0.319308593778947
1,"Walking","freqBodyGyroJerkMagStd",-0.381601911789474
1,"WalkingUpstairs","timeBodyAccMeanX",0.255461689622641
1,"WalkingUpstairs","timeBodyAccMeanY",-0.0239531492643396
1,"WalkingUpstairs","timeBodyAccMeanZ",-0.0973020020943396
1,"WalkingUpstairs","timeBodyAccStdX",-0.35470802509434
1,"WalkingUpstairs","timeBodyAccStdY",-0.00232026501698113
1,"WalkingUpstairs","timeBodyAccStdZ",-0.0194792388471698
1,"WalkingUpstairs","timeGravityAccMeanX",0.89335109754717
1,"WalkingUpstairs","timeGravityAccMeanY",-0.362153364339623
1,"WalkingUpstairs","timeGravityAccMeanZ",-0.075402939754717
1,"WalkingUpstairs","timeGravityAccStdX",-0.956367027924528
1,"WalkingUpstairs","timeGravityAccStdY",-0.952849233207547
1,"WalkingUpstairs","timeGravityAccStdZ",-0.912379410377358
1,"WalkingUpstairs","timeBodyAccJerkMeanX",0.101372729922642
1,"WalkingUpstairs","timeBodyAccJerkMeanY",0.0194863076188679
1,"WalkingUpstairs","timeBodyAccJerkMeanZ",-0.0455625449113208
1,"WalkingUpstairs","timeBodyAccJerkStdX",-0.446843887735849
1,"WalkingUpstairs","timeBodyAccJerkStdY",-0.378274426037736
1,"WalkingUpstairs","timeBodyAccJerkStdZ",-0.706593530943396
1,"WalkingUpstairs","timeBodyGyroMeanX",0.050549379754717
1,"WalkingUpstairs","timeBodyGyroMeanY",-0.166170015088679
1,"WalkingUpstairs","timeBodyGyroMeanZ",0.0583595463981132
1,"WalkingUpstairs","timeBodyGyroStdX",-0.544871104528302
1,"WalkingUpstairs","timeBodyGyroStdY",0.00410518379811321
1,"WalkingUpstairs","timeBodyGyroStdZ",-0.50716867490566
1,"WalkingUpstairs","timeBodyGyroJerkMeanX",-0.122232768011321
1,"WalkingUpstairs","timeBodyGyroJerkMeanY",-0.0421485884509434
1,"WalkingUpstairs","timeBodyGyroJerkMeanZ",-0.0407125527654717
1,"WalkingUpstairs","timeBodyGyroJerkStdX",-0.614786508490566
1,"WalkingUpstairs","timeBodyGyroJerkStdY",-0.601696656226415
1,"WalkingUpstairs","timeBodyGyroJerkStdZ",-0.606332002264151
1,"WalkingUpstairs","timeBodyAccMagMean",-0.129927630735849
1,"WalkingUpstairs","timeBodyAccMagStd",-0.324970929245283
1,"WalkingUpstairs","timeGravityAccMagMean",-0.129927630735849
1,"WalkingUpstairs","timeGravityAccMagStd",-0.324970929245283
1,"WalkingUpstairs","timeBodyAccJerkMagMean",-0.466503446226415
1,"WalkingUpstairs","timeBodyAccJerkMagStd",-0.478991622075472
1,"WalkingUpstairs","timeBodyGyroMagMean",-0.126735589969811
1,"WalkingUpstairs","timeBodyGyroMagStd",-0.14861931805283
1,"WalkingUpstairs","timeBodyGyroJerkMagMean",-0.59488286509434
1,"WalkingUpstairs","timeBodyGyroJerkMagStd",-0.648553044339623
1,"WalkingUpstairs","freqBodyAccMeanX",-0.404321784150943
1,"WalkingUpstairs","freqBodyAccMeanY",-0.190976720811321
1,"WalkingUpstairs","freqBodyAccMeanZ",-0.433349702075472
1,"WalkingUpstairs","freqBodyAccStdX",-0.337428188679245
1,"WalkingUpstairs","freqBodyAccStdY",0.0217695106566038
1,"WalkingUpstairs","freqBodyAccStdZ",0.0859565543849057
1,"WalkingUpstairs","freqBodyAccJerkMeanX",-0.479875245660377
1,"WalkingUpstairs","freqBodyAccJerkMeanY",-0.41344458754717
1,"WalkingUpstairs","freqBodyAccJerkMeanZ",-0.685474353962264
1,"WalkingUpstairs","freqBodyAccJerkStdX",-0.461907025849057
1,"WalkingUpstairs","freqBodyAccJerkStdY",-0.381777065283019
1,"WalkingUpstairs","freqBodyAccJerkStdZ",-0.726040200754717
1,"WalkingUpstairs","freqBodyGyroMeanX",-0.492611667924528
1,"WalkingUpstairs","freqBodyGyroMeanY",-0.319474609056604
1,"WalkingUpstairs","freqBodyGyroMeanZ",-0.453597213018868
1,"WalkingUpstairs","freqBodyGyroStdX",-0.565892490754717
1,"WalkingUpstairs","freqBodyGyroStdY",0.151538905566038
1,"WalkingUpstairs","freqBodyGyroStdZ",-0.57170784
1,"WalkingUpstairs","freqBodyAccMagMean",-0.352395944716981
1,"WalkingUpstairs","freqBodyAccMagStd",-0.416260101509434
1,"WalkingUpstairs","freqBodyAccJerkMagMean",-0.44265216245283
1,"WalkingUpstairs","freqBodyAccJerkMagStd",-0.533059853773585
1,"WalkingUpstairs","freqBodyGyroMagMean",-0.325961457396226
1,"WalkingUpstairs","freqBodyGyroMagStd",-0.182985518264151
1,"WalkingUpstairs","freqBodyGyroJerkMagMean",-0.634665082075472
1,"WalkingUpstairs","freqBodyGyroJerkMagStd",-0.693930521509434
1,"WalkingDownstairs","timeBodyAccMeanX",0.289188320408163
1,"WalkingDownstairs","timeBodyAccMeanY",-0.00991850461020408
1,"WalkingDownstairs","timeBodyAccMeanZ",-0.107566190908163
1,"WalkingDownstairs","timeBodyAccStdX",0.0300353383483878
1,"WalkingDownstairs","timeBodyAccStdY",-0.0319359434489796
1,"WalkingDownstairs","timeBodyAccStdZ",-0.230434213204082
1,"WalkingDownstairs","timeGravityAccMeanX",0.931874418979592
1,"WalkingDownstairs","timeGravityAccMeanY",-0.266610338979592
1,"WalkingDownstairs","timeGravityAccMeanZ",-0.0621199585938775
1,"WalkingDownstairs","timeGravityAccStdX",-0.950559811632653
